company_code,name,exchange,total_valid_days,avg_daily_high_low_range,median_daily_volume,avg_trading_capital,pe_ratio,N1_Pattern_count
KIRIINDUS,Kiri Industries Limited,NSE,14,6.144874190503019,1213293.0,1294856338.65,13.718457943925234,1
RPOWER,Reliance Power Limited,NSE,13,6.752103340241436,149479562.0,10225618457.904,8.412857142857144,0
RPOWER,Reliance Power Limited,BSE,13,6.754187844417063,17697409.0,1317730818.232,8.415714285714285,0
IDBI,IDBI Bank Limited,NSE,12,4.366728903777617,16306320.0,1687406455.9633331,13.866197183098592,3
NORTHARC,Northern Arc Capital Limited,NSE,12,4.017137987565089,609207.0,158022309.996,9.505104305370615,1
IDBI,IDBI Bank Ltd,BSE,12,4.33209060504514,713907.0,95308821.496,13.861971830985915,3
GEOJITFSL,Geojit Financial Services Limited,NSE,12,3.945677721874032,858835.0,93077241.27466664,13.614262560777956,0
RELINFRA,Reliance Infrastructure Limited,NSE,11,6.223549178478613,7975244.0,4160776972.05,3.1132247201237826,3
VASCONEQ,Vascon Engineers Limited,NSE,11,4.7917167209636125,1048601.0,116757695.32133332,9.586879432624114,3
SEACOAST,SEACOAST SHIPPING SERVICES LIMITED,BSE,11,3.894425375958407,1051452.0,3151363.472,7.722222222222222,0
GATECHDVR,GACM Technologies Limited,NSE,11,4.727880957864242,900079.0,728198.5326666665,13.714285714285712,0
SCI,Shipping Corporation Of India Limited,NSE,10,4.716274381809808,4722727.0,1788196486.0813332,11.311982330204309,1
RELINFRA,Reliance Infrastructure Ltd,BSE,10,6.623049062157339,815026.0,304850995.6269231,3.112314553563302,3
BOMDYEING,Bombay Dyeing & Mfg Company Limited,NSE,10,3.718198366296929,1462517.0,231463553.3633333,6.4551201011378,2
AFIL,Akme Fintrade (India) Limited,NSE,10,5.164299562650317,1683625.0,26084754.635333333,10.28205128205128,0
GATECH,GACM Technologies Limited,BSE,10,4.613487687035232,4240297.0,4684076.36,12.285714285714285,0
SWANENERGY,Swan Energy Limited,NSE,9,4.223175532724502,1570292.0,1155638781.8933332,14.304302567661344,3
GPIL,Godawari Power And Ispat limited,NSE,9,3.267774785994902,1119434.0,246190608.30866668,14.475830815709967,4
GMRP&UI,GMR Power and Urban Infra Limited,NSE,8,3.5262126053831038,1447679.0,193576904.974,4.806740614334471,3
ETT,ETT Limited,BSE,4,17.52395586369421,1698856.0,39899061.825,13.005154639175258,0
