company_code,name,exchange,total_valid_days,avg_daily_high_low_range,median_daily_volume,avg_trading_capital,pe_ratio,N1_Pattern_count
AEROFLEX,Aeroflex Industries Limited,NSE,15,6.580038398539666,4776677.0,2771089693.767333,51.62,4
DBREALTY,Valor Estate Limited,NSE,15,5.928426453469856,6029715.0,1525275141.6373332,0.0,4
QPOWER,Quality Power Electrical Equipments Limited,NSE,15,7.2628217201250145,1411973.0,963005669.3333333,174.59,5
SKYGOLD,Sky Gold Limited,NSE,15,4.565766993010321,1049162.0,836159218.43,35.78,4
ELECTCAST,Electrosteel Castings Limited,NSE,15,5.057593809151695,4220860.0,729439695.2133332,11.59,4
HUBTOWN,Hubtown Limited,NSE,15,7.837394255472096,1436305.0,616515897.3646666,63.44,2
FUSION,Fusion Finance Limited,NSE,15,5.219584862680444,1496019.0,369534999.84733325,0.0,5
CAMLINFINE,Camlin Fine Sciences Limited,NSE,15,6.222122022318431,762644.0,355991116.39,174.08,1
SPMLINFRA,SPML Infra Limited,NSE,15,6.074958792436262,538834.0,176421101.5793333,38.03,8
IOLCP,IOL Chemicals and Pharmaceuticals Limited,NSE,15,4.687365319109657,1076529.0,145244638.51266667,28.31,5
SMCGLOBAL,SMC Global Securities Limited,NSE,15,6.473711254136625,684152.0,104061826.576,10.86,0
SINDHUTRAD,Sindhu Trade Links Limited,NSE,15,7.515499110155352,1752683.0,65864764.06866667,34.7,1
SUBEXLTD,Subex Limited,NSE,15,6.517314289791188,1246853.0,44068193.73,0.0,3
NECLIFE,Nectar Lifesciences Limited,NSE,15,5.23359113516609,1114508.0,33050862.344,29.19,8
IEL,Indiabulls Enterprises Limited,NSE,15,9.649133779911535,528504.0,20828093.39733333,0.0,0
COCHINSHIP,Cochin Shipyard Limited,NSE,14,5.071417397903648,4868682.0,10214889665.093332,65.0,0
STLTECH,Sterlite Technologies Limited,NSE,14,7.4682027373290465,11235747.0,2816266689.9593334,0.0,4
KFINTECH,Kfin Technologies Limited,NSE,14,4.486795036578317,1488284.0,2522118067.873333,69.69,1
360ONE,360 ONE WAM LIMITED,NSE,14,4.988935908872789,894802.0,1643369098.1933331,44.82,0
NORTHARC,Northern Arc Capital Limited,NSE,14,6.162990042906933,2761143.0,1636635252.416,99.72,5
JMFINANCIL,JM Financial Limited,NSE,14,4.695185922499296,6162643.0,1597869487.6213331,19.71,3
RELINFRA,Reliance Infrastructure Limited,NSE,14,5.374306111858928,2729713.0,1392208585.233333,2.24,1
INTELLECT,Intellect Design Arena Limited,NSE,14,4.7598369040094965,554130.0,847264100.2266666,47.25,1
DHANI,Dhani Services Limited,NSE,14,7.122933893321131,7682084.0,749979438.2793332,0.0,4
EDELWEISS,Edelweiss Financial Services Limited,NSE,14,4.348581941906305,5245380.0,686366194.3633332,20.34,3
IXIGO,Le Travenues Technology Limited,NSE,14,5.851603577623754,1688779.0,343492122.49,107.74,3
PFOCUS,Prime Focus Limited,NSE,14,7.4850841886898545,668073.0,324935303.662,0.0,3
IIFLCAPS,IIFL Capital Services Limited,NSE,14,4.521314640631919,561807.0,280668980.2366667,15.11,4
THOMASCOOK,Thomas Cook  (India)  Limited,NSE,14,4.197125343479157,946227.0,179787747.5786667,29.3,3
TARC,TARC Limited,NSE,14,4.473860155903152,663763.0,148338780.91,0.0,4
OMAXE,Omaxe Limited,NSE,14,6.783307784040881,947709.5,131363620.17428572,0.0,0
TNPETRO,Tamilnadu PetroProducts Limited,NSE,14,5.535498569725141,715094.0,111928804.202,19.34,3
OSWALAGRO,Oswal Agro Mills Limited,NSE,14,6.483513128068051,800815.0,96453082.362,10.91,4
MMTC,MMTC Limited,NSE,14,4.5766271724086405,913565.0,73080311.146,141.25,5
ATALREAL,Atal Realtech Limited,NSE,14,6.124553368777937,1375314.0,47341812.17,61.81,1
GRSE,Garden Reach Shipbuilders & Engineers Limited,NSE,13,6.5099213948448815,2933678.0,10012379081.52,65.87,2
