company_code,avg_daily_high_low_range,avg_daily_volume,avg_trading_capital,instrument_token,tradingsymbol,name,exchange
1,6.96127308680475724790,22353730.800000000000,12111357243.77500000,1,20MICRONS,20 Microns Limited,NSE
2,5.24230377747259599650,2147206.500000000000,11693857868.80500000,2,21STCENMGM,21st Century Management Services Limited,NSE
3,3.01386922348941073060,6911231.200000000000,11476234362.46000000,3,360ONE,360 ONE WAM LIMITED,NSE
4,4.15256276148238892340,50692164.700000000000,11437428969.97700000,4,3IINFOLTD,3i Infotech Limited,NSE
5,5.70257852059927256650,5117698.200000000000,11259823337.91000000,5,3MINDIA,3M India Limited,NSE
6,5.33642225965573354940,2071205.300000000000,11258183837.64000000,6,3PLAND,3P Land Holdings Limited,NSE
7,2.98120257083304921080,1270851.200000000000,10553503346.25000000,7,5PAISA,5Paisa Capital Limited,NSE
8,3.45583216461319929840,3229673.500000000000,10045340006.32500000,8,63MOONS,63 moons technologies limited,NSE
9,4.60612898018562377920,2113578.800000000000,7656677568.89000000,9,A2ZINFRA,A2Z Infra Engineering Limited,NSE
10,2.80753934343058524420,10738654.600000000000,7350599971.62000000,10,AAATECH,AAA Technologies Limited,NSE
11,4.07593067906503080400,25048252.800000000000,6793005065.09500000,11,AADHARHFC,Aadhar Housing Finance Limited,NSE
12,4.68739875447310113180,2534049.000000000000,5765537464.89000000,12,AAKASH,Aakash Exploration Services Limited,NSE
13,4.17625059668961835900,17752911.600000000000,5019129731.56000000,13,AAREYDRUGS,Aarey Drugs & Pharmaceuticals Limited,NSE
14,4.03095302354099409420,36237873.400000000000,4851962908.58000000,14,AARON,Aaron Industries Limited,NSE
15,10.48632289491446858680,871234.200000000000,4842689529.54000000,15,AARTECH,Aartech Solonics Limited,NSE
16,5.17746834501198849740,11423306.700000000000,4791763268.85500000,16,AARTIDRUGS,Aarti Drugs Limited,NSE
17,4.80676064084647797360,12125331.500000000000,4732216183.61500000,17,AARTIIND,Aarti Industries Limited,NSE
18,3.13660928389675918360,953217.600000000000,4722593602.70000000,18,AARTIPHARM,Aarti Pharmalabs Limited,NSE
19,3.13919604632619305040,4388051.000000000000,4593815726.12000000,19,AARTISURF,Aarti Surfactants Limited,NSE
20,3.87891081905474863590,3986334.500000000000,4487259831.48000000,20,AARVEEDEN,Aarvee Denims & Exports Limited,NSE
21,4.23573190161010035100,3507496.100000000000,4468524619.52500000,21,AARVI,Aarvi Encon Limited,NSE
22,6.04897572335992553140,682859.400000000000,4463623884.46500000,22,AAVAS,Aavas Financiers Limited,NSE
23,4.80142509249144936660,8161738.600000000000,4369002763.57500000,23,ABAN,Aban Offshore Limited,NSE
24,2.79141638022185092640,12514178.400000000000,3948855989.82000000,24,ABB,ABB India Limited,NSE
25,3.73918945106188183690,9171495.300000000000,3948534435.93500000,25,ABBOTINDIA,Abbott India Limited,NSE
26,5.37338565393119604480,10062777.500000000000,3929346969.60500000,26,ABCAPITAL,Aditya Birla Capital Limited,NSE
27,2.92615015688400820560,2127223.400000000000,3857056114.29000000,27,ABDL,Allied Blenders and Distillers Limited,NSE
28,4.95890926982094703120,726488.700000000000,3846097786.63000000,28,ABFRL,Aditya Birla Fashion and Retail Limited,NSE
29,6.29896653229114143000,429201840.90000000,3833518514.53300000,29,ABINFRA,A B Infrabuild Limited,NSE
30,4.93984188794416434860,6740329.000000000000,3755444775.53000000,30,ABMINTLLTD,ABM International Limited,NSE
31,6.18633248728548006610,5256807.000000000000,3562001743.84500000,31,ABREL,Aditya Birla Real Estate Limited,NSE
32,8.41068431599335584360,7080427.000000000000,3508632826.85000000,32,ABSLAMC,Aditya Birla Sun Life AMC Limited,NSE
33,3.02563507369163058980,5678500.600000000000,3415560017.95000000,33,ACC,ACC Limited,NSE
34,3.69810082521644540200,550557.900000000000,3303426347.02500000,34,ACCELYA,Accelya Solutions India Limited,NSE
35,4.50412763098726145830,581911.800000000000,3193845307.95000000,35,ACCURACY,Accuracy Shipping Limited,NSE
36,4.79514316956332917200,14609233.800000000000,3171143691.34400000,36,ACE,Action Construction Equipment Limited,NSE
37,5.30249253089388975220,15584162.800000000000,3169006980.94500000,37,ACEINTEG,Ace Integrated Solutions Limited,NSE
38,4.32540743136281882920,15349901.500000000000,3090450647.76200000,38,ACI,Archean Chemical Industries Limited,NSE
39,5.18682606739862004920,2270037.900000000000,3085845751.95500000,39,ACL,Andhra Cements Limited,NSE
40,4.38535606644560311700,1347739.000000000000,3073746181.39000000,40,ACLGATI,Allcargo Gati Limited,NSE
41,4.51588969338316159020,4459368.600000000000,3067705087.51000000,41,ACMESOLAR,Acme Solar Holdings Limited,NSE
42,5.62948533558741230650,12876672.100000000000,3048877476.10100000,42,ADANIENSOL,Adani Energy Solutions Limited,NSE
43,4.42379121375666787160,1057227.300000000000,3028081580.84000000,43,ADANIENT,Adani Enterprises Limited,NSE
44,5.59183602986768840600,1359509.700000000000,2935385242.07500000,44,ADANIGREEN,Adani Green Energy Limited,NSE
45,5.02819897924320142960,22798568.200000000000,2934928630.94600000,45,ADANIPORTS,Adani Ports and Special Economic Zone Limited,NSE
46,4.05207433594318418800,3452346.200000000000,2851586029.98000000,46,ADANIPOWER,Adani Power Limited,NSE
47,3.96242070041747865400,3329395.000000000000,2815840937.17000000,47,ADFFOODS,ADF Foods Limited,NSE
48,8.29455369329083905360,3585132.500000000000,2784672073.20000000,48,ADL,Archidply Decor Limited,NSE
49,3.60483846087307558200,5554104.200000000000,2761510954.25000000,49,ADORWELD,Ador Welding Limited,NSE
50,5.06032550240139897430,1164002.900000000000,2757437133.65000000,50,ADROITINFO,Adroit Infotech Limited,NSE
51,4.66371073109259472950,5845750.400000000000,2752586065.65500000,51,ADSL,Allied Digital Services Limited,NSE
52,5.38023187932778574060,2948474.000000000000,2716651186.12000000,52,ADVANIHOTR,Advani Hotels & Resorts (India) Limited,NSE
53,6.64340834267901482610,12744659.000000000000,2686981614.23500000,53,ADVENZYMES,Advanced Enzyme Technologies Limited,NSE
54,6.67282551028437130260,14425894.400000000000,2682280565.03400000,54,AEGISLOG,Aegis Logistics Limited,NSE
55,4.46409274694921335100,1286679.900000000000,2670234095.42500000,55,AEROFLEX,Aeroflex Industries Limited,NSE
56,3.33957977640871515620,16364941.600000000000,2656860991.77800000,56,AETHER,Aether Industries Limited,NSE
57,4.58280248640101987840,20926006.200000000000,2632486909.27000000,57,AFCONS,Afcons Infrastructure Limited,NSE
58,4.86992865447523539370,48156814.800000000000,2602713753.89900000,58,AFFLE,Affle (India) Limited,NSE
59,5.51878489449237570680,1291427.600000000000,2491251988.71000000,59,AFFORDABLE,Affordable Robotic & Automation Limited,NSE
60,4.87593484857628703760,13234069.000000000000,2449969405.58100000,60,AFIL,Akme Fintrade (India) Limited,NSE
