company_code,name,exchange,total_valid_days,avg_daily_high_low_range,median_daily_volume,avg_trading_capital,pe_ratio,N1_Pattern_count
RPOWER,Reliance Power Limited,NSE,14,6.978313690825743,159938245.0,10787925137.14,8.704285714285714,3
RPOWER,Reliance Power Limited,BSE,14,6.967869210050706,19013698.0,1404324451.626,8.704285714285714,3
KIRIINDUS,Kiri Industries Limited,NSE,14,6.095957783885344,1089896.0,1267847805.73,14.43003971034805,3
IDBI,IDBI Bank Limited,NSE,12,4.374393609498987,17834303.0,1825652018.503333,14.135211267605634,0
IDBI,IDBI Bank Ltd,BSE,12,4.34097271487832,783494.0,102869595.24333332,14.122535211267603,0
GEOJITFSL,Geojit Financial Services Limited,NSE,12,3.9644293310549807,1031112.0,97014594.35466664,13.747163695299838,6
RELINFRA,Reliance Infrastructure Limited,NSE,11,6.51825680032571,10517413.0,4407670483.967856,3.463778667637423,0
GATECH,GACM Technologies Limited,BSE,11,4.9620927272381365,4494595.0,5257703.104,12.857142857142856,0
SEACOAST,SEACOAST SHIPPING SERVICES LIMITED,BSE,11,3.8299216817727335,1054842.0,3155889.62,7.833333333333333,0
GATECHDVR,GACM Technologies Limited,NSE,11,4.812385643272542,1020493.0,778829.2073333333,14.285714285714285,2
SCI,Shipping Corporation Of India Limited,NSE,10,4.661630610616712,6122535.0,1835893686.1893327,11.548868028713418,1
RELINFRA,Reliance Infrastructure Ltd,BSE,10,6.623049062157339,815026.0,304850995.6269231,3.4625534625534624,0
BOMDYEING,Bombay Dyeing & Mfg Company Limited,NSE,10,3.79168003771768,1462517.0,240339923.2053333,6.526116259477676,3
VASCONEQ,Vascon Engineers Limited,NSE,10,4.28877056198976,1026829.0,71662560.75133333,9.601063829787234,6
AFIL,Akme Fintrade (India) Limited,NSE,10,5.659483817256683,1750210.0,30588245.73133333,10.166666666666666,4
GICRE,General Insurance Corporation of India,NSE,9,3.465583370578462,905239.0,387395086.81,10.43836691965454,6
GPIL,Godawari Power And Ispat limited,NSE,8,3.204806104395185,1055242.0,232378839.9793333,14.343655589123866,4
